station name: SAUK CITY WWTP,,,,,,,,,,
station identifier: 477576,,,,,,,,,,
key: T=trace | M=missing | blank=unknown,,,,,,,,,,
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
Date,max_temp,min_temp,precipitation,snowfall,snow_depth,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
10/14/19,M,M,0,0,0,,,8,0,8
10/15/19,M,M,0.04,0,0,,,8,0,8
10/16/19,M,M,0.01,0,0,,,8,0,8
10/17/19,M,M,0,0,0,,,8,0,8
10/18/19,54,M,0,0,0,8,,8,0,8
10/19/19,62,39,0,0,0,8,8,8,0,8
10/20/19,58,47,0.24,0,0,8,8,8,0,8
10/21/19,65,46,0,0,0,8,8,8,0,8
10/22/19,65,42,0.33,0,0,8,8,8,0,8
10/23/19,47,37,0,0,0,8,8,8,0,8
10/24/19,55,34,0.12,0,0,8,8,8,0,8
10/25/19,45,26,0,0,0,8,8,8,0,8
10/26/19,51,26,0,0,0,8,8,8,0,8
10/27/19,48,28,0.05,0,0,8,8,8,0,8
10/28/19,61,32,0,0,0,8,8,8,0,8
10/29/19,43,27,0.28,3.3,3,8,8,8,0,8
10/30/19,42,21,0,0,T,8,8,8,0,8
10/31/19,35,21,0.19,1.8,2,8,8,8,0,8
11/1/19,34,18,0.04,0.7,1,8,8,8,0,8
11/2/19,40,21,0,0,0,8,8,8,0,8
11/3/19,42,26,0.02,0,0,8,8,8,0,8
11/4/19,47,29,0.19,0,0,8,8,8,0,8
11/5/19,45,25,0,0,0,8,8,8,0,8
11/6/19,36,27,0.17,1.4,1,8,8,8,0,8
11/7/19,34,6,0.22,2,3,8,8,8,0,8
11/8/19,26,1,0,0,3,8,8,8,0,8
11/9/19,30,1,0,0,1,8,8,8,0,8
11/10/19,43,30,0,0,0,8,8,8,0,8
11/11/19,38,19,0.06,0.3,T,8,8,8,0,8
11/12/19,25,3,0.02,0.4,1,8,8,8,0,8
11/13/19,20,3,0,0,T,8,8,8,0,8
11/14/19,24,15,T,T,T,8,8,8,0,8
11/15/19,29,19,0,0,T,8,8,8,0,8
11/16/19,41,22,0,0,0,8,8,8,0,8
11/17/19,42,30,0,0,0,8,8,8,0,8
11/18/19,37,32,T,0,0,8,8,8,0,8
11/19/19,34,31,0,0,0,8,8,8,0,8
11/20/19,37,31,0.01,0,0,8,8,8,0,8
11/21/19,47,35,0.53,0,0,8,8,8,0,8
11/22/19,52,22,0.02,0,0,8,8,8,0,8
11/23/19,M,18,0,0,0,,8,8,0,8
11/24/19,45,28,0,0,0,8,8,8,0,8
11/25/19,44,26,0,0,0,8,8,8,0,8
11/26/19,50,27,0,0,0,8,8,8,0,8
11/27/19,42,34,0.59,0,0,8,8,8,0,8
11/28/19,39,28,0.02,0,0,8,8,8,0,8
11/29/19,32,29,T,T,0,8,8,8,0,8
11/30/19,34,30,T,T,0,8,8,8,0,8
12/1/19,36,30,0.24,0,0,8,8,8,0,8
12/2/19,34,25,0.05,T,0,8,8,8,0,8
12/3/19,36,24,0,0,0,8,8,8,0,8
12/4/19,43,26,0,0,0,8,8,8,0,8
12/5/19,37,20,0,0,0,8,8,8,0,8
12/6/19,44,21,0,0,0,8,8,8,0,8
12/7/19,39,M,0,0,0,8,0,8,0,8
12/8/19,40,30,0,0,0,8,8,8,0,8
12/9/19,45,26,0.01,0,0,8,8,8,0,8
12/10/19,37,10,0.03,T,0,8,8,8,0,8
12/11/19,18,5,0,0,0,8,8,8,0,8
12/12/19,21,8,0,0,0,8,8,8,0,8
12/13/19,38,21,T,T,0,8,8,8,0,8
12/14/19,30,23,0,0,0,8,8,8,0,8
12/15/19,25,8,0,0,0,8,8,8,0,8
12/16/19,24,9,0.01,0.2,T,8,8,8,0,8
12/17/19,29,13,0,0,0,8,8,8,0,8
12/18/19,27,3,0,0,0,8,8,8,0,8
12/19/19,18,1,0,0,0,8,8,8,0,8
12/20/19,37,13,0,0,0,8,8,8,0,8
12/21/19,45,23,0,0,0,8,8,8,0,8
12/22/19,49,21,0,0,0,8,8,8,0,8
12/23/19,54,29,0,0,0,8,8,8,0,8
12/24/19,46,25,0,0,0,8,8,8,0,8
12/25/19,51,26,0,0,0,8,8,8,0,8
12/26/19,57,28,0,0,0,8,8,8,0,8
12/27/19,44,29,0,0,0,8,8,8,0,8
12/28/19,37,20,0,0,0,8,8,8,0,8
12/29/19,51,31,0.87,0,0,8,8,8,0,8
12/30/19,54,31,0.12,0,0,8,8,8,0,8
12/31/19,32,22,0.1,1.4,1,8,8,8,0,8
1/1/20,32,11,0,0,1,8,8,8,0,8
1/2/20,40,13,0,0,T,8,8,8,0,8
1/3/20,46,29,0,0,0,8,8,8,0,8
1/4/20,33,26,0,0,0,8,8,8,0,8
1/5/20,33,22,0,0,0,8,8,8,0,8
1/6/20,40,23,0,0,0,8,8,8,0,8
1/7/20,42,24,0,0,0,8,8,8,0,8
1/8/20,38,7,0,0,0,8,8,8,0,8
1/9/20,28,7,0,0,0,8,8,8,0,8
1/10/20,49,27,T,0,0,8,8,8,0,8
1/11/20,33,22,0.24,2.8,3,8,8,8,0,8
1/12/20,23,6,0,0,3,8,8,8,0,8
1/13/20,25,16,0.17,2,5,8,8,8,0,8
1/14/20,33,24,T,T,4,8,8,8,0,8
1/15/20,35,19,0,0,3,8,8,8,0,8
1/16/20,31,3,T,0,2,8,8,8,0,8
1/17/20,15,2,0,0,2,8,8,8,0,8
1/18/20,28,4,0.43,3.8,6,8,8,8,0,8
1/19/20,31,-1,0,0,6,8,8,8,0,8
1/20/20,21,1,0,0,6,8,8,8,0,8
1/21/20,29,-4,0,0,6,8,8,8,0,8
1/22/20,23,-2,0,0,6,8,8,8,0,8
1/23/20,33,23,0.14,1.7,7,8,8,8,0,8
1/24/20,33,28,0.15,1.8,8,8,8,8,0,8
1/25/20,34,31,0.14,0.8,7,8,8,8,0,8
1/26/20,34,29,0.08,0.2,6,8,8,8,0,8
1/27/20,30,25,0,0,6,8,8,8,0,8
1/28/20,34,26,0,0,6,8,8,8,0,8
1/29/20,27,21,0,0,6,8,8,8,0,8
1/30/20,28,21,0,0,6,8,8,8,0,8
1/31/20,29,24,0,0,5,8,8,8,0,8
2/1/20,34,27,T,0,5,8,8,8,0,8
2/2/20,40,33,0,0,5,8,8,8,0,8
2/3/20,51,23,0,0,3,8,8,8,0,8
2/4/20,44,20,0,0,2,8,8,8,0,8
2/5/20,31,14,0,0,2,8,8,8,0,8
2/6/20,27,14,0,0,2,8,8,8,0,8
2/7/20,37,11,0,0,1,8,8,8,0,8
2/8/20,36,13,0,0,1,8,8,8,0,8
2/9/20,32,13,0.07,2.5,3,8,8,8,0,8
2/10/20,31,0,0.33,3,6,8,8,8,0,8
2/11/20,36,-1,0,0,5,8,8,8,0,8
2/12/20,31,6,0,0,5,8,8,8,0,8
2/13/20,36,8,0.09,1.2,6,8,8,8,0,8
2/14/20,12,-17,0,0,6,8,8,8,0,8
2/15/20,19,-17,0,0,6,8,8,8,0,8
2/16/20,35,9,0,0,5,8,8,8,0,8
2/17/20,36,13,0,0,4,8,8,8,0,8
2/18/20,34,26,0.35,3,6,8,8,8,0,8
2/19/20,33,-3,0,0,6,8,8,8,0,8
2/20/20,22,-13,0,0,6,8,8,8,0,8
2/21/20,20,-12,0,0,6,8,8,8,0,8
2/22/20,34,2,0,0,5,8,8,8,0,8
2/23/20,42,17,0,0,4,8,8,8,0,8
2/24/20,51,19,0,0,2,8,8,8,0,8
2/25/20,42,20,0,0,1,8,8,8,0,8
2/26/20,36,24,0,0,1,8,8,8,0,8
2/27/20,29,21,0,0,1,8,8,8,0,8
2/28/20,28,12,0,0,1,8,8,8,0,8
2/29/20,28,6,0,0,1,8,8,8,0,8
3/1/20,35,6,0,0,1,8,8,8,0,8
3/2/20,51,26,0,0,0,8,8,8,0,8
3/3/20,43,26,0,0,0,8,8,8,0,8
3/4/20,45,27,0.04,0.7,0,8,8,8,0,8
3/5/20,44,28,0,0,0,8,8,8,0,8
3/6/20,46,26,0.01,T,0,8,8,8,0,8
3/7/20,42,23,0,0,0,8,8,8,0,8
3/8/20,52,28,0,0,0,8,8,8,0,8
3/9/20,64,42,0,0,0,8,8,8,0,8
3/10/20,51,30,0.67,0,0,8,8,8,0,8
3/11/20,50,29,0.28,0,0,8,8,8,0,8
3/12/20,44,30,0,0,0,8,8,8,0,8
3/13/20,50,29,0.13,0,0,8,8,8,0,8
3/14/20,47,28,0,0,0,8,8,8,0,8
3/15/20,35,26,0,0,0,8,8,8,0,8
3/16/20,40,25,0,0,0,8,8,8,0,8
3/17/20,40,27,0,0,0,8,8,8,0,8
3/18/20,49,27,0.08,0.2,T,8,8,8,0,8
3/19/20,38,31,0.34,0.3,T,8,8,8,0,8
3/20/20,44,34,1.74,0,0,8,8,8,0,8
3/21/20,37,20,0,0,0,8,8,8,0,8
3/22/20,37,22,0,0,0,8,8,8,0,8
3/23/20,40,27,0,0,0,8,8,8,0,8
3/24/20,46,28,0,0,0,8,8,8,0,8
3/25/20,50,33,0,0,0,8,8,8,0,8
3/26/20,49,38,0.02,0,0,8,8,8,0,8
3/27/20,47,35,T,0,0,8,8,8,0,8
3/28/20,56,35,0.27,0,0,8,8,8,0,8
3/29/20,49,40,0.24,0,0,8,8,8,0,8
3/30/20,43,36,0.02,0,0,8,8,8,0,8
3/31/20,57,31,0,0,0,8,8,8,0,8
4/1/20,39,30,0,0,0,8,8,8,0,8
4/2/20,55,29,0,0,0,8,8,8,0,8
4/3/20,65,37,0.01,0,0,8,8,8,0,8
4/4/20,65,29,0.12,0,0,8,8,8,0,8
4/5/20,50,25,0,0,0,8,8,8,0,8
4/6/20,59,33,0,0,0,8,8,8,0,8
4/7/20,57,35,0.06,0,0,8,8,8,0,8
4/8/20,71,43,0,0,0,8,8,8,0,8
4/9/20,53,31,0.27,0,0,8,8,8,0,8
4/10/20,47,27,0,0,0,8,8,8,0,8
4/11/20,50,27,0,0,0,8,8,8,0,8
4/12/20,59,36,0.03,0,0,8,8,8,0,8
4/13/20,52,30,0.62,T,0,8,8,8,0,8
4/14/20,40,21,0,0,0,8,8,8,0,8
4/15/20,37,18,T,T,0,8,8,8,0,8
4/16/20,38,18,0,0,0,8,8,8,0,8
4/17/20,46,23,0,0,0,8,8,8,0,8
4/18/20,50,27,0,0,0,8,8,8,0,8
4/19/20,61,32,0,0,0,8,8,8,0,8
4/20/20,57,27,0,0,0,8,8,8,0,8
4/21/20,65,26,T,0,0,8,8,8,0,8
4/22/20,50,27,T,0,0,8,8,8,0,8
4/23/20,67,37,0.07,0,0,8,8,8,0,8
4/24/20,51,38,T,0,0,8,8,8,0,8
4/25/20,57,39,T,0,0,8,8,8,0,8
4/26/20,59,28,0,0,0,8,8,8,0,8
4/27/20,68,29,0,0,0,8,8,8,0,8
4/28/20,65,37,0.21,0,0,8,8,8,0,8
4/29/20,69,45,0.15,0,0,8,8,8,0,8
4/30/20,53,45,0.05,0,0,8,8,8,0,8
5/1/20,68,33,0,0,0,8,8,8,0,8
5/2/20,69,33,0,0,0,8,8,8,0,8
5/3/20,75,40,0,0,0,8,8,8,0,8
5/4/20,73,35,0,0,0,8,8,8,0,8
5/5/20,57,38,0,0,0,8,8,8,0,8
5/6/20,54,30,T,0,0,8,8,8,0,8
5/7/20,66,33,0,0,0,8,8,8,0,8
5/8/20,64,32,0,0,0,8,8,8,0,8
5/9/20,48,22,0,0,0,8,8,8,0,8
5/10/20,61,37,0.2,0,0,8,8,8,0,8
5/11/20,39,33,0.12,0,0,8,8,8,0,8
5/12/20,55,27,0,0,0,8,8,8,0,8
5/13/20,62,30,0,0,0,8,8,8,0,8
5/14/20,67,36,0.13,0,0,8,8,8,0,8
5/15/20,65,52,0.24,0,0,8,8,8,0,8
5/16/20,75,47,0,0,0,8,8,8,0,8
5/17/20,72,50,0.18,0,0,8,8,8,0,8
5/18/20,54,50,1.99,0,0,8,8,8,0,8
5/19/20,55,48,0.06,0,0,8,8,8,0,8
5/20/20,60,49,0,0,0,8,8,8,0,8
5/21/20,72,51,0,0,0,8,8,8,0,8
5/22/20,68,54,T,0,0,8,8,8,0,8
5/23/20,69,56,0.02,0,0,8,8,8,0,8
5/24/20,73,59,0.11,0,0,8,8,8,0,8
5/25/20,83,65,0,0,0,8,8,8,0,8
5/26/20,84,63,0.01,0,0,8,8,8,0,8
5/27/20,86,64,0.04,0,0,8,8,8,0,8
5/28/20,84,67,0.14,0,0,8,8,8,0,8
5/29/20,70,51,1.07,0,0,8,8,8,0,8
5/30/20,65,46,0,0,0,8,8,8,0,8
5/31/20,70,43,0,0,0,8,8,8,0,8
6/1/20,72,51,0,0,0,8,8,8,0,8
6/2/20,78,60,0.01,0,0,8,8,8,0,8
6/3/20,90,63,0.55,0,0,8,8,8,0,8
6/4/20,86,59,0,0,0,8,8,8,0,8
6/5/20,88,61,0,0,0,8,8,8,0,8
6/6/20,86,57,0.12,0,0,8,8,8,0,8
6/7/20,81,56,0,0,0,8,8,8,0,8
6/8/20,83,56,0,0,0,8,8,8,0,8
6/9/20,90,63,0,0,0,8,8,8,0,8
6/10/20,84,66,0.62,0,0,8,8,8,0,8
6/11/20,78,52,0.31,0,0,8,8,8,0,8
6/12/20,80,48,0,0,0,8,8,8,0,8
6/13/20,83,48,0,0,0,8,8,8,0,8
6/14/20,70,47,0,0,0,8,8,8,0,8
6/15/20,72,49,0,0,0,8,8,8,0,8
6/16/20,80,52,0,0,0,8,8,8,0,8
6/17/20,84,55,0,0,0,8,8,8,0,8
6/18/20,84,53,0,0,0,8,8,8,0,8
6/19/20,86,56,0,0,0,8,8,8,0,8
6/20/20,85,62,0.01,0,0,8,8,8,0,8
6/21/20,79,58,0.45,0,0,8,8,8,0,8
6/22/20,83,60,0.58,0,0,8,8,8,0,8
6/23/20,71,53,0.2,0,0,8,8,8,0,8
6/24/20,75,53,0.15,0,0,8,8,8,0,8
6/25/20,77,53,0.13,0,0,8,8,8,0,8
6/26/20,82,54,0.07,0,0,8,8,8,0,8
6/27/20,75,61,1.25,0,0,8,8,8,0,8
6/28/20,86,59,0,0,0,8,8,8,0,8
6/29/20,86,64,0,0,0,8,8,8,0,8
6/30/20,85,67,0.06,0,0,8,8,8,0,8
7/1/20,90,69,0,0,0,8,8,8,0,8
7/2/20,88,62,0,0,0,8,8,8,0,8
7/3/20,89,63,0,0,0,8,8,8,0,8
7/4/20,90,65,0,0,0,8,8,8,0,8
7/5/20,91,62,0,0,0,8,8,8,0,8
7/6/20,89,66,0,0,0,8,8,8,0,8
7/7/20,90,67,0,0,0,8,8,8,0,8
7/8/20,91,65,0.8,0,0,8,8,8,0,8
7/9/20,90,66,0.11,0,0,8,8,8,0,8
7/10/20,88,65,1.93,0,0,8,8,8,0,8
7/11/20,83,61,0,0,0,8,8,8,0,8
7/12/20,83,60,0,0,0,8,8,8,0,8
7/13/20,81,57,0,0,0,8,8,8,0,8
7/14/20,83,61,0,0,0,8,8,8,0,8
7/15/20,82,67,0.9,0,0,8,8,8,0,8
7/16/20,74,65,0.46,0,0,8,8,8,0,8
7/17/20,81,60,0,0,0,8,8,8,0,8
7/18/20,86,60,0,0,0,8,8,8,0,8
7/19/20,87,73,0.16,0,0,8,8,8,0,8
7/20/20,83,61,0,0,0,8,8,8,0,8
7/21/20,78,59,0,0,0,8,8,8,0,8
7/22/20,79,65,0,0,0,8,8,8,0,8
7/23/20,80,55,0,0,0,8,8,8,0,8
7/24/20,81,54,0,0,0,8,8,8,0,8
7/25/20,84,57,0,0,0,8,8,8,0,8
7/26/20,89,66,0,0,0,8,8,8,0,8
7/27/20,91,69,0.76,0,0,8,8,8,0,8
7/28/20,83,60,0,0,0,8,8,8,0,8
7/29/20,85,61,0.02,0,0,8,8,8,0,8
7/30/20,85,59,0,0,0,8,8,8,0,8
7/31/20,82,55,0,0,0,8,8,8,0,8
8/1/20,81,53,0,0,0,8,8,8,0,8
8/2/20,82,58,0,0,0,8,8,8,0,8
8/3/20,75,52,0.07,0,0,8,8,8,0,8
8/4/20,66,46,0,0,0,8,8,8,0,8
8/5/20,72,47,0,0,0,8,8,8,0,8
8/6/20,78,51,0,0,0,8,8,8,0,8
8/7/20,79,50,0,0,0,8,8,8,0,8
8/8/20,82,51,0,0,0,8,8,8,0,8
8/9/20,84,66,0,0,0,8,8,8,0,8
8/10/20,83,68,0.1,0,0,8,8,8,0,8
8/11/20,82,55,0.14,0,0,8,8,8,0,8
8/12/20,83,51,0,0,0,8,8,8,0,8
8/13/20,84,54,0,0,0,8,8,8,0,8
8/14/20,85,55,0,0,0,8,8,8,0,8
8/15/20,87,60,0.52,0,0,8,8,8,0,8
8/16/20,76,53,0,0,0,8,8,8,0,8
8/17/20,83,56,0.02,0,0,8,8,8,0,8
8/18/20,81,54,0,0,0,8,8,8,0,8
8/19/20,78,50,0,0,0,8,8,8,0,8
8/20/20,82,52,0,0,0,8,8,8,0,8
8/21/20,83,52,0,0,0,8,8,8,0,8
8/22/20,85,52,0,0,0,8,8,8,0,8
8/23/20,84,63,0,0,0,8,8,8,0,8
8/24/20,88,62,0,0,0,8,8,8,0,8
8/25/20,91,64,0,0,0,8,8,8,0,8
8/26/20,91,67,0,0,0,8,8,8,0,8
8/27/20,92,68,0,0,0,8,8,8,0,8
8/28/20,94,66,2.01,0,0,8,8,8,0,8
8/29/20,86,63,0.47,0,0,8,8,8,0,8
8/30/20,78,49,0,0,0,8,8,8,0,8
8/31/20,75,52,0,0,0,8,8,8,0,8
9/1/20,76,49,0.55,0,0,8,8,8,0,8
9/2/20,73,49,0.87,0,0,8,8,8,0,8
9/3/20,81,58,0,0,0,8,8,8,0,8
9/4/20,75,45,0,0,0,8,8,8,0,8
9/5/20,77,45,0,0,0,8,8,8,0,8
9/6/20,77,52,0.45,0,0,8,8,8,0,8
9/7/20,76,57,0.02,0,0,8,8,8,0,8
9/8/20,64,52,0.04,0,0,8,8,8,0,8
9/9/20,54,47,0.87,0,0,8,8,8,0,8
9/10/20,50,46,0.94,0,0,8,8,8,0,8
9/11/20,52,46,0.22,0,0,8,8,8,0,8
9/12/20,64,51,0.93,0,0,8,8,8,0,8
9/13/20,68,49,0.04,0,0,8,8,8,0,8
9/14/20,74,50,0,0,0,8,8,8,0,8
9/15/20,72,52,0,0,0,8,8,8,0,8
9/16/20,77,56,0,0,0,8,8,8,0,8
9/17/20,74,44,0,0,0,8,8,8,0,8
9/18/20,67,45,0,0,0,8,8,8,0,8
9/19/20,63,36,0,0,0,8,8,8,0,8
9/20/20,66,39,0,0,0,8,8,8,0,8
9/21/20,70,41,0,0,0,8,8,8,0,8
9/22/20,74,47,0,0,0,8,8,8,0,8
9/23/20,79,45,0,0,0,8,8,8,0,8
9/24/20,78,47,0,0,0,8,8,8,0,8
9/25/20,72,50,0.16,0,0,8,8,8,0,8
9/26/20,78,50,0,0,0,8,8,8,0,8
9/27/20,76,61,0,0,0,8,8,8,0,8
9/28/20,65,48,0.37,0,0,8,8,8,0,8
9/29/20,58,40,0.02,0,0,8,8,8,0,8
9/30/20,57,38,0,0,0,8,8,8,0,8
10/1/20,60,40,0.04,0,0,8,8,8,0,8
10/2/20,57,32,0.03,0,0,8,8,8,0,8
10/3/20,53,30,0,0,0,8,8,8,0,8
10/4/20,51,29,0.03,0,0,8,8,8,0,8
10/5/20,55,27,0,0,0,8,8,8,0,8
10/6/20,64,26,0,0,0,8,8,8,0,8
10/7/20,74,43,0,0,0,8,8,8,0,8
10/8/20,71,35,0,0,0,8,8,8,0,8
10/9/20,68,34,0,0,0,8,8,8,0,8
10/10/20,79,51,0,0,0,8,8,8,0,8
10/11/20,71,45,0,0,0,8,8,8,0,8
10/12/20,66,46,0,0,0,8,8,8,0,8
10/13/20,65,33,0.26,0,0,8,8,8,0,8
10/14/20,66,35,0.02,0,0,8,8,8,0,8
10/15/20,66,41,T,0,0,8,8,8,0,8
10/16/20,52,29,0,0,0,8,8,8,0,8
10/17/20,53,31,0.04,0,0,8,8,8,0,8
10/18/20,61,37,0.1,0,0,8,8,8,0,8
10/19/20,47,27,0,0,0,8,8,8,0,8
10/20/20,48,27,0,0,0,8,8,8,0,8
10/21/20,46,31,0.11,0,0,8,8,8,0,8
10/22/20,53,40,0.09,0,0,8,8,8,0,8
10/23/20,46,38,4.87,0,0,8,8,8,0,8
10/24/20,42,33,0.03,0,0,8,8,8,0,8
10/25/20,41,31,0,0,0,8,8,8,0,8
10/26/20,36,29,T,T,T,8,8,8,0,8
10/27/20,37,26,0,0,0,8,8,8,0,8
10/28/20,41,25,0,0,0,8,8,8,0,8
10/29/20,55,26,0,0,0,8,8,8,0,8
10/30/20,42,27,0,0,0,8,8,8,0,8
10/31/20,43,23,0,0,0,8,8,8,0,8
11/1/20,60,31,0,0,0,8,8,8,0,8
11/2/20,39,19,0,0,0,8,8,8,0,8
11/3/20,53,20,0,0,0,8,8,8,0,8
11/4/20,69,25,0,0,0,8,8,8,0,8
11/5/20,69,37,0,0,0,8,8,8,0,8
11/6/20,73,32,0,0,0,8,8,8,0,8
11/7/20,71,34,0,0,0,8,8,8,0,8
11/8/20,70,52,0,0,0,8,8,8,0,8
11/9/20,74,53,0,0,0,8,8,8,0,8
11/10/20,72,47,0.02,0,0,8,8,8,0,8
11/11/20,58,31,1.57,0,0,8,8,8,0,8
11/12/20,45,25,0,0,0,8,8,8,0,8
11/13/20,53,25,0.04,T,T,8,8,8,0,8
11/14/20,37,24,0,0,0,8,8,8,0,8
11/15/20,50,30,0.38,0,0,8,8,8,0,8
11/16/20,38,24,0,0,0,8,8,8,0,8
11/17/20,43,22,0,0,0,8,8,8,0,8
11/18/20,41,23,0,0,0,8,8,8,0,8
11/19/20,50,34,0,0,0,8,8,8,0,8
11/20/20,62,42,0,0,0,8,8,8,0,8
11/21/20,53,20,0,0,0,8,8,8,0,8
11/22/20,41,18,0,0,0,8,8,8,0,8
11/23/20,42,20,0,0,0,8,8,8,0,8
11/24/20,43,25,0.08,0.6,1,8,8,8,0,8
11/25/20,38,32,0.76,T,0,8,8,8,0,8
11/26/20,38,36,0.01,0,0,8,8,8,0,8
11/27/20,43,32,0,0,0,8,8,8,0,8
11/28/20,42,23,0,0,0,8,8,8,0,8
11/29/20,50,23,0,0,0,8,8,8,0,8
11/30/20,44,28,0,0,0,8,8,8,0,8
12/1/20,31,15,0,0,0,6,6,6,6,6
12/2/20,36,13,0,0,0,6,6,6,6,6
12/3/20,43,13,0,0,0,6,6,6,6,6
12/4/20,41,28,0,0,0,6,6,6,6,6
12/5/20,44,15,0,0,0,7,7,7,7,7
12/6/20,36,15,0,0,0,7,7,7,7,7
12/7/20,40,26,0,0,0,6,6,6,6,6
12/8/20,33,29,0,0,0,6,6,6,6,6
12/9/20,34,24,0,0,0,6,6,6,6,6
12/10/20,54,22,0,0,0,6,6,6,6,6
12/11/20,53,21,0,0,0,6,6,6,6,6
12/12/20,38,29,0.27,2.5,3,6,6,6,6,6
12/13/20,M,14,T,0.2,3,,7,7,7,7
12/14/20,27,14,0,0,2,6,6,6,6,6
12/15/20,25,4,0,0,2,6,6,6,6,6
12/16/20,23,7,0,0,2,6,6,6,6,6
12/17/20,33,21,0,0,2,6,6,6,6,6
12/18/20,35,18,0,0,2,6,6,6,6,6
12/19/20,35,21,T,0,2,7,7,7,7,7
12/20/20,36,23,0,0,1,6,6,6,6,6
12/21/20,33,24,0,0,1,6,6,6,6,6
12/22/20,40,21,0,0,T,6,6,6,6,6
12/23/20,43,22,0,0,T,6,6,6,6,6
12/24/20,52,10,T,T,T,8,8,8,8,8
12/25/20,13,3,0,0,0,8,8,8,8,8
12/26/20,21,4,0,0,0,7,7,7,7,7
12/27/20,28,11,0,0,0,7,7,7,7,7
12/28/20,33,18,0.17,2.1,2,6,6,6,6,6
12/29/20,27,-3,0,0,2,6,6,6,6,6
12/30/20,30,1,0.31,3,5,6,6,6,6,6
12/31/20,30,18,0,0,5,7,7,7,7,7
1/1/21,22,13,0,0,4,8,8,8,8,8
1/2/21,26,17,0,0,4,9,9,9,9,9
1/3/21,25,18,0,0,4,7,7,7,7,7
1/4/21,22,18,0,0,4,6,6,6,6,6
1/5/21,30,9,0.03,0.6,4,6,6,6,6,6
1/6/21,39,7,0,0,4,6,6,6,6,6
1/7/21,28,16,0,0,4,6,6,6,6,6}
